Shipment_ID,Origin_Country,Destination_Country,Shipment_Date,Estimated_Arrival_Date,Actual_Arrival_Date,Transport_Mode,Carrier_Name,Route_Code,Commodity_Type,Declared_Value_USD,Weight_kg,HS_Code,Document_Status,Compliance_Score,Prior_Offense_Count,Tariff_Category,Route_Risk_Index,Inspection_Type,Delay_Reason,Customs_Delay_Days,Risk_Flag
SHP000001,India,China,2022-01-31,2022-02-12,2022-02-15,Air,Carrier_9,R854,Electronics,36867.7,3013.36,9935.21,Error,0.49,3,Low,0.16,Physical,"Incomplete paperwork, requires manual review",3,1
SHP000002,Germany,Brazil,2024-08-31,2024-09-24,2024-09-25,Sea,Carrier_36,R303,Machinery,3846.1,4337.57,9928.63,Complete,0.76,3,High,0.71,Document,Routine customs clearance without issue,1,1
SHP000003,China,Germany,2023-09-28,2023-10-13,2023-10-13,Road,Carrier_10,R320,Automotive,9909.42,957.85,2674.21,Missing,0.58,0,Medium,0.52,Document,Incorrect HS code classification,0,0
SHP000004,Brazil,China,2024-02-25,2024-03-18,2024-03-21,Sea,Carrier_25,R180,Food,22165.31,1491.58,5803.90,Error,0.77,2,High,0.14,Physical,"Suspected undervaluation, needs reassessment",3,1
SHP000005,India,China,2021-07-22,2021-08-20,2021-08-20,Road,Carrier_6,R975,Pharmaceuticals,23347.43,3936.62,2654.58,Missing,0.52,3,High,0.51,Document,High-risk commodity flagged for inspection,0,0
SHP000006,Japan,UK,2021-05-08,2021-06-03,2021-06-03,Road,Carrier_45,R799,Machinery,30028.31,279.93,2169.87,Error,0.76,1,High,0.17,Both,High-risk commodity flagged for inspection,0,0
SHP000007,USA,South Africa,2023-04-04,2023-04-17,2023-04-17,Air,Carrier_44,R432,Electronics,34527.42,2228.75,4752.14,Missing,0.47,3,Medium,0.5,Physical,High-risk commodity flagged for inspection,0,0
SHP000008,Australia,Japan,2021-05-20,2021-06-14,2021-06-15,Rail,Carrier_26,R758,Textiles,2685.04,4551.14,3340.43,Complete,0.56,1,High,0.66,Both,Incorrect HS code classification,1,1
SHP000009,Brazil,UAE,2023-06-24,2023-07-10,2023-07-12,Air,Carrier_9,R621,Textiles,27788.8,965.03,2489.16,Complete,0.98,1,High,0.78,Physical,Routine customs clearance without issue,2,1
SHP000010,UK,India,2023-04-26,2023-05-13,2023-05-13,Rail,Carrier_34,R357,Food,47035.45,4479.4,1188.97,Error,0.76,0,High,0.92,Both,Routine customs clearance without issue,0,0
SHP000011,Brazil,UK,2020-04-01,2020-04-15,2020-04-16,Rail,Carrier_11,R564,Electronics,20045.19,1393.18,5315.74,Complete,0.9,4,Low,0.36,Both,Random inspection selected,1,1
SHP000012,South Africa,Germany,2020-09-18,2020-10-04,2020-10-05,Air,Carrier_35,R897,Food,14765.79,2736.35,1009.86,Missing,0.48,3,Low,0.8,Physical,Random inspection selected,1,1
SHP000013,Brazil,Germany,2019-08-26,2019-09-07,2019-09-07,Sea,Carrier_6,R849,Textiles,1270.58,4086.53,2133.78,Complete,0.82,1,High,0.73,Document,Incorrect HS code classification,0,0
SHP000014,USA,Japan,2024-12-01,2024-12-25,2024-12-28,Rail,Carrier_14,R652,Machinery,38792.25,416.52,4295.49,Missing,0.62,5,High,0.12,Document,Tariff dispute pending resolution,3,1
SHP000015,South Africa,UAE,2020-05-10,2020-05-22,2020-05-24,Air,Carrier_5,R446,Electronics,17214.0,364.61,4770.85,Complete,0.59,0,Low,0.33,Both,"Suspected undervaluation, needs reassessment",2,1
SHP000016,China,Brazil,2019-10-04,2019-10-10,2019-10-14,Road,Carrier_5,R626,Pharmaceuticals,36750.7,3205.91,5562.95,Missing,0.93,1,High,0.47,Physical,"Suspected undervaluation, needs reassessment",4,2
SHP000017,Australia,UAE,2021-09-22,2021-10-22,2021-10-25,Rail,Carrier_27,R294,Electronics,38278.47,2828.32,2588.94,Missing,0.86,2,Medium,0.49,Document,Tariff dispute pending resolution,3,1
SHP000018,China,USA,2019-09-06,2019-09-23,2019-09-23,Road,Carrier_7,R354,Pharmaceuticals,26613.91,2166.33,4116.78,Missing,0.42,1,Medium,0.11,Physical,Random inspection selected,0,0
SHP000019,UAE,Germany,2019-11-05,2019-11-24,2019-11-26,Sea,Carrier_4,R767,Food,16403.44,2567.42,1241.21,Complete,0.94,1,Medium,0.25,Document,Tariff dispute pending resolution,2,1
SHP000020,Germany,UAE,2019-08-29,2019-09-08,2019-09-09,Rail,Carrier_1,R499,Automotive,21108.76,3789.98,8454.46,Missing,0.54,5,High,0.08,Both,"Suspected undervaluation, needs reassessment",1,1
